Each numbered origami of degree  4  is represented as follows.
The format is (x,y,\epsilon), where x and y are shown as cycles, and \epsilon is shown as a list with + as 0 and - as 1.
O_ 0  = ( [[0, 1, 2, 3]] [[0], [1], [2], [3]] [0 0 0 0] ), abelian= True
O_ 52  = ( [[0, 1], [2, 3]] [[0], [1, 2], [3]] [0 0 0 0] ), abelian= True
O_ 53  = ( [[0, 1], [2, 3]] [[0], [1, 2, 3]] [0 0 0 0] ), abelian= True
O_ 54  = ( [[0, 1], [2, 3]] [[0], [1, 2, 3]] [0 0 1 0] ), abelian= False
O_ 55  = ( [[0, 1], [2, 3]] [[0, 1], [2, 3]] [0 0 0 0] ), abelian= True
O_ 56  = ( [[0, 1], [2, 3]] [[0, 1], [2, 3]] [1 0 0 0] ), abelian= False
O_ 57  = ( [[0, 1], [2, 3]] [[0, 1], [2, 3]] [1 0 1 0] ), abelian= False
O_ 58  = ( [[0, 1], [2, 3]] [[0, 1, 2, 3]] [0 0 0 0] ), abelian= True
O_ 59  = ( [[0, 1], [2, 3]] [[0, 1, 2, 3]] [1 0 0 0] ), abelian= False
O_ 60  = ( [[0, 1], [2, 3]] [[0, 1, 2, 3]] [1 0 1 0] ), abelian= False
O_ 61  = ( [[0, 1], [2, 3]] [[0, 2], [1, 3]] [0 0 0 0] ), abelian= True
O_ 62  = ( [[0, 1], [2, 3]] [[0, 2], [1, 3]] [1 0 0 0] ), abelian= False
O_ 63  = ( [[0, 1], [2, 3]] [[0, 2, 1, 3]] [0 0 0 0] ), abelian= True
O_ 64  = ( [[0, 1], [2, 3]] [[0, 2, 1, 3]] [1 0 0 0] ), abelian= False
O_ 65  = ( [[0, 1], [2, 3]] [[0, 2, 1, 3]] [1 0 1 0] ), abelian= False
O_ 66  = ( [[0], [1], [2, 3]] [[0], [1], [2], [3]] [0 0 0 0] ), abelian= True
O_ 67  = ( [[0], [1], [2, 3]] [[0], [1], [2, 3]] [0 0 0 0] ), abelian= True
O_ 68  = ( [[0], [1], [2, 3]] [[0], [1], [2, 3]] [0 0 1 0] ), abelian= False
O_ 69  = ( [[0], [1], [2, 3]] [[0], [1, 2], [3]] [0 0 0 0] ), abelian= True
O_ 70  = ( [[0], [1], [2, 3]] [[0], [1, 2, 3]] [0 0 0 0] ), abelian= True
O_ 71  = ( [[0], [1], [2, 3]] [[0], [1, 2, 3]] [0 0 1 0] ), abelian= False
O_ 72  = ( [[0], [1], [2, 3]] [[0, 1], [2], [3]] [0 0 0 0] ), abelian= True
O_ 73  = ( [[0], [1], [2, 3]] [[0, 1], [2, 3]] [0 0 0 0] ), abelian= True
O_ 74  = ( [[0], [1], [2, 3]] [[0, 1], [2, 3]] [0 0 1 0] ), abelian= False
O_ 75  = ( [[0], [1], [2, 3]] [[0, 1, 2], [3]] [0 0 0 0] ), abelian= True
O_ 76  = ( [[0], [1], [2, 3]] [[0, 1, 2, 3]] [0 0 0 0] ), abelian= True
O_ 77  = ( [[0], [1], [2, 3]] [[0, 1, 2, 3]] [0 0 1 0] ), abelian= False
O_ 78  = ( [[0], [1], [2, 3]] [[0, 2], [1, 3]] [0 0 0 0] ), abelian= True
O_ 79  = ( [[0], [1], [2, 3]] [[0, 2, 1, 3]] [0 0 0 0] ), abelian= True
O_ 80  = ( [[0], [1], [2, 3]] [[0, 2, 1, 3]] [0 0 1 0] ), abelian= False
O_ 81  = ( [[0], [1], [2], [3]] [[0], [1], [2], [3]] [0 0 0 0] ), abelian= True
O_ 82  = ( [[0], [1], [2], [3]] [[0], [1], [2, 3]] [0 0 0 0] ), abelian= True
O_ 83  = ( [[0], [1], [2], [3]] [[0], [1, 2, 3]] [0 0 0 0] ), abelian= True
O_ 84  = ( [[0], [1], [2], [3]] [[0, 1], [2, 3]] [0 0 0 0] ), abelian= True
O_ 85  = ( [[0], [1], [2], [3]] [[0, 1, 2, 3]] [0 0 0 0] ), abelian= True
